CPE Status,Customer,Etherway,Etherflow Ref,Serial Number,Siebel Ref,CPEType,Address (County),Person,SFP Type LAN (Adva),Created,SFP Type WAN (Adva),date,CPEs,SFPs,ADVA825s,ADVA201s,ADVAXG210s,Ciscos,Huaweis,Nokias
Ballymount Stores,Concert B Ends,CNCRETHW49336,CNCRETHG49337,800009f0030080ea948760,1-866264831,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,10/09/2018,Adva 10K Dual Fibre SFP,17/09/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Global Crossing,GLCRETHW48614,GLCRETHG48615,800009f0030080ea948500,1-864383131,ADVA GE201,CORK,G.Moran,N/A - Adva Electrical Port,11/09/2018,Adva 10K Dual Fibre SFP,17/09/2018,1,1,0,1,0,0,0,0
Ballymount Stores,equant,ORBSETHW49257,ORBSETHG49258,800009f0030080ea9497f0,1-866017651,ADVA GE201,WICKLOW,G.Moran,N/A - Adva Electrical Port,12/09/2018,Adva 10K Dual Fibre SFP,17/09/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Concert-B-ends,CNCRETHW48961,CNCRETHGM48962,800009f0030080ea949620,1-865162751,ADVA GE201,DUBLIN,G.Moran,N/A - Adva Electrical Port,12/09/2018,Adva 10K Dual Fibre SFP,17/09/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Global Crossing,GLCRETHW49301,GLCRETHG49302,800009f0030080ea9495c0,1-866368621,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,12/09/2018,Adva 10K Dual Fibre SFP,01/10/2018,1,1,0,1,0,0,0,0
Ballymount Stores,O2,ESDGETHW49173,ESDGETHG49174,800009f0030080ea949640,1-865774591,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,14/09/2018,Adva 10K Single Fibre SFP,17/09/2018,1,1,0,1,0,0,0,0
Cork Office,Concert B Ends,CNCRETHW48861,CNCRETHGM48862,800009f0030080ea9497c0,1-865275901,ADVA GE201,CORK,P.Fox,N/A - Adva Electrical Port,14/09/2018,Adva 10K Single Fibre SFP,07/02/2019,1,1,0,1,0,0,0,0
Ballymount Stores,worldcom,WOCMETHW48667,na,800009f0030080ea8ee790,1-864240181,ADVA XG210,DUBLIN,G.Moran,Adva 10G XFP 10km,14/09/2018,Adva 10G XFP 10km,17/09/2018,1,2,0,0,1,0,0,0
Ballymount Stores,Genesys Telecommunications,GSYSETHGIP49137,GSYSETHW49136,800009f0030080ea949720,1-866079131,ADVA GE201,GALWAY,P.Fox,N/A - Adva Electrical Port,14/09/2018,Adva 10K Dual Fibre SFP,17/09/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Worldcom,WOCMETHW49535,WOCMETHG49536,800009f0030080ea8f01b8,1-866467671,ADVA XG210,DUBLIN,N.Sexton,Adva 10G XFP 10km,17/09/2018,Adva 10G XFP 10km,17/09/2018,1,2,0,0,1,0,0,0
Ballymount Stores,Global Crossing Ireland Ltd,GLCRETHW49303,GLCRETHG49304,800009f0030080ea9494e0,1-866264611,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,17/09/2018,Adva 10K Single Fibre SFP,17/09/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Worldcom,wocmethw46800,wocmethg46801,800009f0030080ea9495a0,1-859529411,ADVA GE201,DUBLIN,N.Sexton,N/A - Adva Electrical Port,17/09/2018,Adva 10K Dual Fibre SFP,17/09/2018,1,1,0,1,0,0,0,0
Ballymount Stores,O2,ENASETHW49195,ENASETHG49196,800009f0030080ea9469f0,1-865940461,ADVA GE201,DUBLIN,G.Moran,N/A - Adva Electrical Port,17/09/2018,Adva 10K Single Fibre SFP,17/09/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Pure Telecom Limited,PUREETHW49315,PUREETHGIP49316,800009f0030080ea947c20,1-866192151,ADVA GE201,DUBLIN,S.Mernagh,N/A - Adva Electrical Port,18/09/2018,Adva 10K Single Fibre SFP,27/09/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Primark,PRMKETHW49399,PRMKETHG49400,LBADVA71162102392,1-866310241,ADVA 825,DUBLIN,G.Moran,N/A - Adva Electrical Port,18/09/2018,Adva 10K Dual Fibre SFP,27/09/2018,1,1,1,0,0,0,0,0
Engineer Collected,Concert B Ends,CNCRETHW49117,CNCRETHGM49118,LBADVA71182801620,1-865881341,ADVA GE201,DUBLIN,P.Fox,Adva 10K Dual Fibre SFP,21/09/2018,Adva 10K Dual Fibre SFP,06/02/2019,1,2,0,1,0,0,0,0
Ballymount Stores,Primark,PRMKETHW48411,PRMKETHG48412,prmkethw48411,1-866310261,ADVA 825,DUBLIN,G.Moran,N/A - Adva Electrical Port,21/09/2018,Adva 10K Single Fibre SFP,27/09/2018,1,1,1,0,0,0,0,0
Ballymount Stores,worldcom,WOCMETHW49594,WOCMETHG49595,800009f0030080ea9495b0,1-866827011,ADVA GE201,DUBLIN,G.Moran,N/A - Adva Electrical Port,24/09/2018,Adva 40K Single Fibre SFP,27/09/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Telecom Limited,TELEETHW49523,TELEETHG49524,800009f0030080ea9496d0,1-866634621,ADVA GE201,DUBLIN,G.Moran,N/A - Adva Electrical Port,24/09/2018,Adva 10K Single Fibre SFP,27/09/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Concert B Ends,CNCRETHW49340,CNCRETHGM49341,800009f0030080ea9497e0,1-866192881,ADVA GE201,OFFALY,P.Fox,N/A - Adva Electrical Port,24/09/2018,Adva 10K Dual Fibre SFP,27/09/2018,1,1,0,1,0,0,0,0
Courier Shipped to Site,KK0100 Callan TT EVO,NA,N/A,,1-867174811,NOKIA 7210 SAS-M,KILKENNY,N.Sexton,N/A,24/09/2018,N/A,17/10/2018,1,1,0,0,0,0,0,1
Courier Shipped to Site,KK0120 Ballyspellan TT EVO,NA,N/A,,1-867174811,NOKIA 7210 SAS-M,KILKENNY,N.Sexton,N/A,24/09/2018,N/A,17/10/2018,1,1,0,0,0,0,0,1
Ballymount Stores,GTT emea ltd,GTTEETHW49317,GTTEETHG49318,800009f0030080ea9497a0,1-866316021,ADVA GE201,DUBLIN,G.Moran,N/A - Adva Electrical Port,24/09/2018,Adva 10K Dual Fibre SFP,27/09/2018,1,1,0,1,0,0,0,0
Ballymount Stores,World Com MCI,WOCMETHW48851,WOCMETHG48852,800009f0030080ea948b00,1-864834381,ADVA GE201,DUBLIN,P.Fox,Adva 10K Dual Fibre SFP,25/09/2018,Adva 10K Single Fibre SFP,27/09/2018,1,2,0,1,0,0,0,0
Ballymount Stores,WX0130 New Ross ESB,NA,N/A,0000197f00004c5fd209cfc8,1-859233431,NOKIA 7210 SAS-M,WEXFORD,N.Sexton,N/A,25/09/2018,N/A,27/09/2018,1,1,0,0,0,0,0,1
